TEMP,DO,pH,CONDUCTIVITY,BOD,NITRATE_N_NITRITE_N,FECAL_COLIFORM,TOTAL_COLIFORM,,,,,,,,,,
29.1,7.3,6.7,55,1.4,0.1,2638,4003,,,,,,,,,,
30.1,6.5,7.5,415,2,0.1,864,1538,,,,,,,,,,
29.2,7.2,6.3,100,1.5,0.1,7942,13575,,,,,,,,,,
24.5,7.6,7.5,NA,1.4,0,NA,5,,,,,,,,,,
25,7.4,7.5,NA,1.7,0,NA,9,,,,,,,,,,
26.3,6.6,7.9,1610,4.7,0.4,2,107,,,,,,,,,,
29.1,5.8,8.2,498,1.3,2,13,102,,,,,,,,,,
29.6,5.2,8.2,555,1.6,2.9,19,158,,,,,,,,,,
28.5,6.3,8.4,451,0.8,0.9,9,90,,,,,,,,,,
28.3,6.6,8.4,427,1,1,9,82,,,,,,,,,,
27.9,7,7.8,543,2.3,1.3,786,1400,,,,,,,,,,
17.4,5.1,7.9,400,10.9,0,NA,NA,,,,,,,,,,
27,6,8.3,430,8,0,NA,NA,,,,,,,,,,
26.1,5.1,8.1,369,11.3,1.1,140,220,,,,,,,,,,
24.9,6,8.2,403,8.9,1,90,130,,,,,,,,,,
23.9,6.2,8.2,458,8.9,2.2,110,140,,,,,,,,,,
23.4,5.1,8.2,577,10.7,2.3,110,140,,,,,,,,,,
24.4,5.4,8.1,678,10.6,2.7,50,80,,,,,,,,,,
23.7,5.7,8.2,498,8.9,2.1,40,70,,,,,,,,,,
22.7,7.4,7.4,450,2.2,0.4,39,67,,,,,,,,,,
21.4,7.3,8,386,2.3,1,15,95,,,,,,,,,,
23,7.7,8.1,292,1.5,4.8,0,36,,,,,,,,,,
33.3,4.8,8.3,482,10.8,6,170,277,,,,,,,,,,
28.1,5.9,8.1,341,9.1,1.2,82,132,,,,,,,,,,
27.3,5.3,8.2,273,9.6,1.7,98,180,,,,,,,,,,
25.1,6.2,8.2,393,9.1,2.4,110,170,,,,,,,,,,
24.3,5.3,8.2,388,10.6,1.2,140,240,,,,,,,,,,
24.1,5.7,8.2,366,8.6,0.9,170,280,,,,,,,,,,
24.1,5.5,8.2,607,10.4,2.9,114,193,,,,,,,,,,
23.7,7.4,7.7,403,2.1,0.3,39,127,,,,,,,,,,
33.8,4.8,8.2,477,10.5,6.7,131,221,,,,,,,,,,
24.4,5.5,8.2,534,10.1,2.7,103,157,,,,,,,,,,
24.9,5.1,8.2,523,11.1,2.7,140,222,,,,,,,,,,
26.3,4.7,8.4,940,15.1,11.5,183,273,,,,,,,,,,
23.2,4.2,8.4,685,13,8.4,363,420,,,,,,,,,,
31.6,5.1,8.3,435,9.7,2.5,152,231,,,,,,,,,,
21.6,6.9,7.5,469,0.8,0.5,2,1100,,,,,,,,,,
21,7.6,7.6,207,NA,0,2,400,,,,,,,,,,
27.6,6.5,7.7,1127,5.7,0.3,3,108,,,,,,,,,,
22.1,5.2,7.9,306,4.5,2.2,47,136,,,,,,,,,,
21.6,4.7,7.9,262,3.4,1.2,33,106,,,,,,,,,,
21.9,5.5,8,247,3.7,1.1,39,104,,,,,,,,,,
22.7,5.4,8.1,244,3.6,1,44,117,,,,,,,,,,
21.3,4.9,7.9,272,3.4,0.6,59,155,,,,,,,,,,
25,5.8,8.3,506,8.5,2.6,14,34,,,,,,,,,,
24.6,5.1,8.3,534,9.5,3.2,26,50,,,,,,,,,,
25.3,4.9,8.4,966,12.8,11.7,133,247,,,,,,,,,,
31.2,5.2,8.3,432,9.8,2.3,113,186,,,,,,,,,,
31.1,4.7,8.2,432,11.2,2.3,150,246,,,,,,,,,,
28.9,7,8,736,1.5,4.9,700,1250,,,,,,,,,,
27.5,7.1,7.9,447,1.5,1,558,1040,,,,,,,,,,
27.5,6.8,7.4,237,4.5,0.2,796,1460,,,,,,,,,,
28.5,6.6,7.7,371,1.2,0.6,620,1080,,,,,,,,,,
28.5,6.9,8,1004,3.3,2.1,740,1390,,,,,,,,,,
27,7.1,7.9,1017,4,1.5,732,1350,,,,,,,,,,
25.8,7.2,7.9,286,2.4,0.1,71,157,,,,,,,,,,
26.1,7,8,415,2.9,0.3,93,191,,,,,,,,,,
29.9,7.2,7.9,613,1.9,0.2,927,1542,,,,,,,,,,
27,6.5,7.9,536,6,0.4,179,386,,,,,,,,,,
26.9,6.5,7.9,398,4,0.2,143,288,,,,,,,,,,
26.5,6.7,8,383,3.6,0.2,129,279,,,,,,,,,,
29.8,7.2,8.1,448,1.9,0.2,808,1425,,,,,,,,,,
26.1,7.2,7.9,313,2.7,0.1,69,152,,,,,,,,,,
26.2,7.2,7.9,290,2.9,0.1,55,133,,,,,,,,,,
27.7,7.1,8.1,956,2.2,2.5,18,544,,,,,,,,,,
27,6.9,8.2,999,3,3.1,23,620,,,,,,,,,,
27.6,6,7.8,166,3.5,0.2,273,734,,,,,,,,,,
28.5,6.4,8,219,3.3,0.3,150,291,,,,,,,,,,
21.8,5.5,13.7,223,1,0.1,718,2946,,,,,,,,,,
29.5,5.8,7.7,245,4.2,0.2,867,1542,,,,,,,,,,
28.8,6,7.8,226,3.3,0.2,145,302,,,,,,,,,,
29.6,6.5,8,154,2,0.2,58,130,,,,,,,,,,
21.5,5.5,7.4,185,1,0.1,532,2064,,,,,,,,,,
17,6,8,416,4.3,0,NA,NA,,,,,,,,,,
17,0,7.4,1408,59,0,NA,NA,,,,,,,,,,
17.2,0.2,7.5,1255,69,0,NA,NA,,,,,,,,,,
28.6,5.4,8.2,1062,2.1,2.6,21,67,,,,,,,,,,
25.5,6.9,8,838,0.9,0.6,2,1450,,,,,,,,,,
24,6.6,8.3,905,0.7,0.5,2,1400,,,,,,,,,,
29.1,6.9,8.3,596,2.6,0.3,842,1425,,,,,,,,,,
29,6.8,8.4,575,2.6,0.4,696,1483,,,,,,,,,,
28.3,4.8,7.9,1868,5.6,10.3,21,181,,,,,,,,,,
27,6.8,7.8,648,3.6,5,14,554,,,,,,,,,,
27.3,7,8.1,734,1.3,0.9,820,1460,,,,,,,,,,
31.6,7.3,7.2,46,1.2,1.23,108,413,,,,,,,,,,
30.8,7.1,6.7,48,1.4,0.26,7453,12640,,,,,,,,,,
30.2,7.4,6.9,80,0.8,0,160,329,,,,,,,,,,
29.7,4.1,6.7,141,2,1,4428,7894,,,,,,,,,,
29.1,2.7,6.4,137,2.2,0.77,3207,4719,,,,,,,,,,
31.6,5.9,6.6,110,2.7,1,1666,12638,,,,,,,,,,
30.3,1.3,6.6,350,2.9,0,18857,32714,,,,,,,,,,
31.6,4.9,6.5,148,2.8,1.05,2864,4218,,,,,,,,,,
26.7,7.15,7.8,1371,14,0,NA,NA,,,,,,,,,,
27.6,6.5,8.6,649,21.8,4,5064,2487,,,,,,,,,,
29.5,7.03,8.1,320,29.5,3.23,783,12400,,,,,,,,,,
28,7.8,8,2225,5.5,2,2568,2448,,,,,,,,,,
29.3,6.4,8,23125,4.8,2,4500,178,,,,,,,,,,
27.8,7.2,7.7,1448,16.3,6,NA,664,,,,,,,,,,
25,7.3,8.5,169,1,1,NA,NA,,,,,,,,,,
26,7.1,8.5,2440,1,1,NA,NA,,,,,,,,,,
28,5.5,8.4,NA,1,0,NA,NA,,,,,,,,,,
28.3,6.8,8,1870,13,1,4,29,,,,,,,,,,
28.5,7.1,7.5,2100,21,1,4,95,,,,,,,,,,
29,5.7,7.6,2980,11,6.78,NA,NA,,,,,,,,,,
NA,4.2,8.7,NA,0.3,0,NA,NA,,,,,,,,,,
27,3.2,8.4,NA,1,0,NA,NA,,,,,,,,,,
26,3.4,8.4,NA,1,0,NA,NA,,,,,,,,,,
25.3,4.7,7.8,NA,21,0,NA,250,,,,,,,,,,
28.4,3.5,8.1,NA,9.5,0,NA,313,,,,,,,,,,
26,5,7.6,NA,8,0,NA,200,,,,,,,,,,
28,4.4,8,NA,1.7,0,NA,NA,,,,,,,,,,
29,5.9,7.8,1453,7.3,6.45,30,7,,,,,,,,,,
27.8,2.4,8,351,6.6,6.22,24,959,,,,,,,,,,
26,8.3,8.3,270,2.1,3,4,87,,,,,,,,,,
25.7,9.1,8,461,5.5,1.06,7,363,,,,,,,,,,
25,5.8,7.7,872,1.9,12,7,170,,,,,,,,,,
22,7.6,7.5,408,2,1.92,7,55,,,,,,,,,,
22,6.8,7.5,428,2.1,2,13,82,,,,,,,,,,
29.2,7.5,7.4,59,3.1,5,26,364,,,,,,,,,,
27,7.6,7.9,680,6.4,17,8,382,,,,,,,,,,
26.1,8.2,8.3,263,2.3,3,4,97,,,,,,,,,,
26.8,8.2,8.2,277,2.2,2,4,88,,,,,,,,,,
25.4,7.1,8.1,273,2.2,4,4,94,,,,,,,,,,
26.7,7.3,7.9,301,1.8,6.66,3,93,,,,,,,,,,
22.5,4.4,7.7,464,4.4,12,5,260,,,,,,,,,,
22.3,7.3,7.9,502,7.6,2,12,121,,,,,,,,,,
22.5,7.4,7.7,495,5,3,5,200,,,,,,,,,,
22.1,6.9,7.5,448,4.3,2,8,49,,,,,,,,,,
28,6.9,7.4,NA,2.3,6,NA,212,,,,,,,,,,
28.2,6.9,7.3,NA,18.6,1,NA,399,,,,,,,,,,
26.5,6.3,7.2,NA,10.3,1,NA,652,,,,,,,,,,
23.8,5.3,8.2,572,1.5,1,7,65,,,,,,,,,,
23.9,4.6,8.4,1463,3.2,1,16,557,,,,,,,,,,
19.9,4.7,8.2,321,1.5,1,12,242,,,,,,,,,,
24.3,5,8.4,583,1.2,1,4,12,,,,,,,,,,
23.2,8.4,8.3,300,1,2,5,21,,,,,,,,,,
21.7,5.7,8,295,1.1,1,5,9,,,,,,,,,,
26.1,4.5,7.9,483,1.5,1,5,15,,,,,,,,,,
24.4,5,8,314,1.9,2,4,7,,,,,,,,,,
30.3,5.1,7.9,266,0.9,1.08,4,7,,,,,,,,,,
21.3,5,8.6,604,1.2,2.29,4,11,,,,,,,,,,
21.2,4.9,8.6,593,1.1,1,4,7,,,,,,,,,,
23.2,4.4,8.1,538,1.2,1,5,14,,,,,,,,,,
22.9,5.6,8.4,591,1.1,3,4,8,,,,,,,,,,
22.9,5.8,8.5,588,1.2,3,4,6,,,,,,,,,,
28.7,4.1,7.9,1133,2.3,2,7,67,,,,,,,,,,
24.3,3.5,8.9,2004,6.5,1,13,248,,,,,,,,,,
